MSE_test,R2_test,stability,site,property
"0.02 (0.01, 0.04)","0.48 (0.22, 0.79)",0.97,Agriculture,a_col
"0.41 (0.12, 0.84)","0.09 (0, 0.5)",0.9,Agriculture,b_col
"0.5 (0.14, 1.03)","0.1 (0, 0.51)",0.93,Agriculture,c_col
"0.58 (0.37, 0.82)","0.25 (0.01, 0.65)",0.98,Forest,Ca
"0.52 (0.18, 1)","0.11 (0, 0.52)",0.98,Agriculture,Co
"1.03 (0.62, 1.53)","0.01 (0, 0.26)",0.93,Forest,Co
"0.01 (0.01, 0.02)","0.29 (0.03, 0.64)",0.99,Agriculture,Cs
"0.01 (0, 0.01)","0.02 (0, 0.51)",0.9,Forest,Cs
"0.01 (0.01, 0.01)","0.01 (0, 0.43)",0.99,Agriculture,Fe
"0 (0, 0)","0.03 (0, 0.42)",0.94,Agriculture,h_col
"0 (0, 0)","0.01 (0, 0.47)",0.75,Forest,h_col
"0.38 (0.22, 0.56)","0.81 (0.57, 0.92)",0.99,Agriculture,La
"3.76 (1.78, 5.86)","0.02 (0, 0.34)",0.88,Forest,La
"0.84 (0.35, 1.54)","0.43 (0.24, 0.71)",0.85,Agriculture,Li
"1.33 (0.66, 2.28)","0.05 (0, 0.39)",0.61,Forest,Li
"0 (0, 0.01)","0 (0, 0.31)",0.95,Agriculture,Nb
"0 (0, 0)","0.16 (0, 0.49)",0.89,Forest,Nb
"1.49 (0.62, 2.65)","0.7 (0.48, 0.88)",0.99,Agriculture,Ni
"2.73 (1.19, 4.56)","0.85 (0.73, 0.95)",1,Agriculture,Rb
"370.87 (131.19, 657.81)","0.85 (0.75, 0.94)",1,Agriculture,Sr
"58.2 (31.76, 92.06)","0.17 (0, 0.6)",0.98,Forest,Sr
"0 (0, 0)","0.31 (0.02, 0.67)",0.96,Agriculture,x_col
"6.93 (3.83, 10.83)","0.02 (0, 0.4)",0.76,Forest,Ni
